= Appendix 1: Treasure Tables =
{| class="wikitable" style="text-align:center;"
|+Table 84: TREASURE TYPES LAIR TREASURES
! Treasure Type
! Copper
! Silver
! Gold
! Platinum or Electrum*
! Gems
! Art Objects
! Magical Item
|-
| rowspan="2" | A
| 1,000-3,000
| 200-2,000
| 1,000-6,000
| 300-1,800
| 10-40
| 2-12
| Any 3
|-
| 25%
| 30%
| 40%
| 35%
| 60%
| 50%
| 30%
|-
| rowspan="2" | B
| 1,000-6,000
| 1,000-3,000
| 200-2,000
| 100-1,000
| 1-8
| 1-4
| Armor Weapon
|-
| 50%
| 25%
| 25%
| 25%
| 30%
| 20%
| 10%
|-
| rowspan="2" | C
| 1,000-10,000
| 1,000-6,000
| —
| 100-600
| 1-6
| 1-3
| Any 2
|-
| 20%
| 30%
| —
| 10%
| 25%
| 20%
| 10%
|-
| rowspan="2" | D
| 1,000-6,000
| 1,000-10,000
| 1,000-3,000
| 100-600
| 1-10
| 1-6
| Any 2 + 1 potion
|-
| 10%
| 15%
| 50%
| 15%
| 30%
| 25%
| 15%
|-
| rowspan="2" | E
| 1,000-6,000
| 1,000-10,000
| 1,000-4,000
| 300-1,800
| 1-12
| 1-6
| Any 3 + 1 scroll
|-
| 5%
| 25%
| 25%
| 25%
| 15%
| 10%
| 25%
|-
| rowspan="2" | F
| —
| 3,000-18,000
| 1,000-6,000
| 1,000-4,000
| 2-20
| 1-8
| Any 5 except weapons
|-
| —
| 10%
| 40%
| 15%
| 20%
| 10%
| 30%
|-
| rowspan="2" | G
| —
| —
| 2,000-20,000
| 1,000-10,000
| 3-18
| 1-6
| Any 5
|-
| —
| —
| 50%
| 50%
| 30%
| 25%
| 35%
|-
| rowspan="2" | H
| 3,000-18,000
| 2,000-20,000
| 2,000-20,000
| 1,000-8,000
| 3-30
| 2-20
| Any 6
|-
| 25%
| 40%
| 55%
| 40%
| 50%
| 50%
| 15%
|-
| rowspan="2" | I
| —
| —
| —
| 100-600
| 2-12
| 2-8
| Any 1
|-
| —
| —
| —
| 30%
| 55%
| 50%
| 15%
|-
! colspan="8"|INDIVIDUAL AND SMALL LAIR TREASURES
|-
| J
| 3-24
| —
| —
| —
| —
| —
| —
